neighbor,interventions,total_abs_effect,mean_abs_effect,mean_delta
13vHWR3iLsHeYwT42RnuKYNBoVPrKKZgRv,1,0.01314014196395874,0.01314014196395874,0.01314014196395874
1D428KQ1afeNyjmjbj5WtgVsf2ZxjRPYWh,1,0.013006262481212616,0.013006262481212616,-0.013006262481212616
1Hi4VN32bzYhJAVm17tByeBGJjoC5Sd5fj,1,0.012809231877326965,0.012809231877326965,0.012809231877326965
18oMcnDMbP7XmhAdYxjoidju3ZCeLPxuLn,1,0.012801699340343475,0.012801699340343475,-0.012801699340343475
18QUa57MjVrZ13Y2vQvCpayG9qaRMXR66H,2,0.012704917695373297,0.006352458847686648,-0.006352458847686648
36SLihhtuJm4wJa9u7u3ULAt2tSSJxooA6,1,0.012566558085381985,0.012566558085381985,-0.012566558085381985
122njJc1zCSPDHcFVWSQdT3ogzcxjR6Lop,1,0.012442409992218018,0.012442409992218018,-0.012442409992218018
1KNUpuWaPpozPvoJXUEP75rpPEy4HZzcqS,1,0.012054678052663803,0.012054678052663803,-0.012054678052663803
1KZQGAA4jT4EQKvmMcWoEhX8eRGwcH95Rs,1,0.01202702522277832,0.01202702522277832,-0.01202702522277832
1gve4i2TZGTbiKuSTRoGxceyaT6XBxPGg,1,0.010684162378311157,0.010684162378311157,-0.010684162378311157
1HsfFANHq8KHV3kujDJLThowAT6VkUGunQ,1,0.010684162378311157,0.010684162378311157,-0.010684162378311157
15ws9hmVXfWqwKUGGBFfqUAYg4pCWp5i65,1,0.010491788387298584,0.010491788387298584,-0.010491788387298584
13jttFaLnhiQcFo4hYXnMNdZMNQapzyK5J,1,0.01049119234085083,0.01049119234085083,-0.01049119234085083
1BLRZf3TB9SEL26RxF54Lk7eDrjbSnA3ZT,1,0.00944221019744873,0.00944221019744873,-0.00944221019744873
3KsDoGVFrDhoqtkVkgz1Yipv93Xza43Qcu,1,0.009295523166656494,0.009295523166656494,0.009295523166656494
1MEe2mebed8wopvy8xyjjHcEQHUPVJn2UC,1,0.009293823502957821,0.009293823502957821,-0.009293823502957821
1721nmvVbLXY57UBLKzUT1PoYd9v9Y8Xus,1,0.009277105331420898,0.009277105331420898,-0.009277105331420898
38DgnT18UXQQVc4cgA9dtixybt4BPVuc1C,5,0.009127318859100342,0.0018254637718200684,-0.0018254637718200684
1Dd4oF92npCRg7odtWYyPevo92dQ7CGojK,1,0.00891643762588501,0.00891643762588501,-0.00891643762588501
12pkJ4BgY4ZxMDvYPP7VXSHajzwUjtaZY4,2,0.008411919698119164,0.004205959849059582,-0.004205959849059582
1CgL9cadWu6XwWAkfRYGc7XBuYtUEMTsUT,1,0.008083492517471313,0.008083492517471313,0.008083492517471313
1KkSDKg3YmvHrYFTx12akk8f2uvje4WFaA,1,0.007996916770935059,0.007996916770935059,0.007996916770935059
17giXgQLSosQDgMT5RV8HSFhyiEhQxnbK4,1,0.007793240249156952,0.007793240249156952,0.007793240249156952
3MMCb1DofhUKEpf4aGGs4rDj9QJs1HCrEJ,10,0.007430732250213623,0.0007430732250213623,0.0007430732250213623
1APHyhaXs4wJ5utxAht8W1i9HXnr1GBxfF,1,0.007201671600341797,0.007201671600341797,0.007201671600341797
122cArGCaKzoAj7dsf7KH2tdhhejy23n7r,2,0.006915871519595385,0.0034579357597976923,-0.0034579357597976923
191Fg7VG5MFAxsr4tKZHdzyuqktNYL4k3M,1,0.006881356239318848,0.006881356239318848,-0.006881356239318848
